name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
Acetamide,60-35-5,water,,,,
Acetoacetamide,5977-14-0,chloroform,,,,
"Acetylenedicarboxamide (Aquamycin, Cellocidin)",543-21-5,methanol/water,,,,
Acetylenedicarboxylic acid (butynedioic acid),142-45-0,diethyl_ether,,,,
N-Acetylethylenediamine,1001-53-2,dioxane/diethyl_ether,ethanol/ethyl_acetate,,,
"cis-Aconitic acid (1,2,3-propenetriscarboxylic acid)",585-84-2,acetone/chloroform,,,,
Acrylamide,79-06-1,acetone,,,,
Adipic acid,124-04-9,acetone,,,,
N-Allylthiourea (thiosinamine),109-57-9,acetone,water,,,
N-Allylurea,557-11-9,ethanol,,,,
Aminoacetonitrile bisulfate,151-63-3,ethanol/diethyl_ether,water/ethanol,,,
2-Aminoethanol (ethanolamine),141-43-5,ethanol,,,,
(2-Aminoethyl)trimethylammonium chloride hydrochloride (chloramine chloride hydrochloride),,ethanol,,,,
"2-Amino-2-methyl-1,3-propanediol",115-69-5,methanol,,,,
Arachidic (eicosanoic C20) acid,506-30-9,petroleum_ether,,,,
"Azelaic acid (1,9-nonanedioic acid, heptane-1,7-dicarboxylic acid)",123-99-9,water,,,,
Biguanide,56-03-1,ethanol,,,,
"Bis-acrylamide (N,N'-methylene bisacrylamide)",110-26-9,methanol,,,,
Bis(2-mercaptoethyl)sulfone (BMS),145626-87-5,hexane,,,,
Bis(trichloromethyl) carbonate (triphosgene),32315-10-9,petroleum_ether,,,,
"Biuret (allophanic acid amide, carbamoylurea)",108-19-0,ethanol,,,,
N-Bromoacetamide,79-15-2,chloroform,,,,
Bromoacetic acid,79-08-3,petroleum_ether,,,,
(±)-2-Bromohexadecanoic acid (2-bromopalmitic acid),18263-25-7,ethanol,,,,
3-Bromopropionic acid,590-92-1,carbon_tetrachloride,,,,
N-Bromosuccinimide,128-08-5,acetic_acid,,,,
Bromotetronic acid (2-bromo-4-hydroxyacetoacetic lactone),21151-51-9,ethyl_acetate,,,,
5-Bromovaleric (γ−bromopentanoic) acid,2067-33-6,petroleum_ether,,,,
"1,4-Butanediol (tetramethylene glycol)",110-63-4,acetone,,,,
1-Butanesulfonyl chloride,2386-60-9,chloroform,,,,
tert-Butyl carbazate,870-46-2,petroleum_ether,,,,
tert-Butylperoxy isobutyrate,109-13-7,petroleum_ether,,,,
N-tert-Butyl urea,1118-12-3,water,,,,
"2-Butyne-1,4-diol",110-65-6,ethyl_acetate,,,,
n-Butyric acid,107-92-6,acetone,,,,
Carbon tetrabromide,558-13-4,ethanol,,,,
Cetyl acetate (hexadecyl acetate),629-70-9,methanol,,,,
"Cetylamine (HDA, 1-hexadecylamine)",143-27-1,methanol,,,,
Cetyl ether (dihexadecyl ether),4113-12-6,methanol,,,,
"Cetyltrimethylammonium bromide (cetrimonium bromide, CTAB)",57-09-0,ethanol,,,,
Cetyltrimethylammonium chloride,112-02-7,acetone,methanol,,,
Chloroacetic acid,79-11-8,acetone,chloroform,,,
3-Chloropropionic acid,107-94-8,petroleum_ether,,,,
Citraconic acid (methylmaleic acid),498-23-7,ethanol/petroleum_ether,,,,
trans-Crotonic acid (trans-2-butenoic acid),107-93-7,petroleum_ether,,,,
Cyanoacetic acid,372-09-8,methanol/dioxane,ethanol,acetone,,
Decyltrimethylammonium bromide,2082-84-0,ethanol/water/diethyl_ether,acetone,ethanol,,
